title,subtitle,quantity,price_per_metric,promo_message,old_price,discount,new_price,eye_catcher,additional_offers,category_id,url,availability
Coroniță Halloween,,1 buc,,,,,"6,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00091908.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Figurină decorativă,,1 buc,,,,,"6,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00091910.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Mască Halloween,,1 buc,,,,,"19,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00091927.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Mască Halloween,,1 buc,,,,,"19,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00091929.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Costum vampir,,1 buc,,,,,"24,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00092016.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Linguriţă,,1 buc,,,,,"1,49",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00095391.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Lingură,,1 buc,,,,,"1,49",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00095392.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Furculiţă,,1 buc,,,,,"1,49",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00095393.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bormioli,"Bol cca. 13,5 cm",1 buc,,,,,"5,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00101652.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bormioli,Platou oval,1 buc,,,,,"11,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00105068.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Candelă cu capac,timp de ardere: 10 h,1 buc,,,,,"0,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00105696.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Instalaţie decorativă,,1 buc,,,,,"9,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00111736.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Instalaţie decorativă,,1 buc,,,,,"9,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00111814.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Geantă Halloween,,1 buc,,,,,"11,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00111815.html,Valabilitate: din 21.10.2020 până în 27.10.2020
K-Classic,Şerveţele albe,1 set,,,,,"1,99",,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00113120.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Decorațiune Halloween,,1 buc,,,,,"5,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00113262.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Decorațiune Halloween,,1 buc,,,,,"3,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00113264.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Găleată Halloween cu LED,,1 buc,,,,,"19,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00113313.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Farfurie desert,,1 buc,,,,,"2,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00115174.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bol,"cca. 0,95 l",1 buc,,,,,"4,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00115175.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Farfurie întinsă,,1 buc,,,,,"3,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00115176.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Farfurie adâncă,,1 buc,,,,,"3,49",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00115177.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Cană,,1 buc,,,,,"4,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00115178.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bol,"cca. 0,25 l",1 buc,,,,,"3,49",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00115179.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Candelă fără capac,timp de ardere: 22 h,1 set,,,"7,99",- 56%,"3,49",,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00121215.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Pahar,,1 buc,,,,,"1,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00122495.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bol,,1 buc,,,,,"3,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00123420.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bol,,1 buc,,,,,"5,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00123422.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Candelă cu capac,timp de ardere: 72 h,1 buc,,,,,"2,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00125849.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Baloane Halloween,,1 buc,,,,,"9,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00127264.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Instalație decorativă,,1 buc,,,,,"19,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00127627.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Balon Halloween,,1 buc,,,,,"7,99",Ofertă specială,1,01,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00127705.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Mini kalanchoe,,buc,,,,,"13,99",,0,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00028527.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Grepfrut roşu,,kg,,,"7,49",- 49%,"3,79",,0,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=09700027.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Banane,,kg,,,"4,99",- 48%,"2,59",,0,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=09700041.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Ciuperci Champignon,,caserolă 500 g,,,"5,99",- 30%,"4,19",,0,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=09700062.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Ardei roşu,,kg,,,"9,79",- 33%,"6,49",,0,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=09700077.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Struguri albi,,kg,,,"5,99",- 36%,"3,79",,0,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=09700088.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Pere Conference,,kg,,,"6,29",- 31%,"4,29",,0,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=09700118.html,Valabilitate: din 21.10.2020 până în 27.10.2020
