page_number,chars,x0,x1,y0,y1,labels
3,"Vino în magazin în fiecare săptămână, cumpără produsele Super Erou ",32.59847,464.38648,636.42047,650.42047,11
3,și vei primi la casa de marcat vouchere de 5 lei.,32.59847,322.03167,619.6204799999999,633.6204799999999,12
3,*Datele care au stat la baza estimării provin din surse statistice din România și date interne Kaufland România,14.17327,443.77747000000005,33.969590000000004,42.969590000000004,13
3,Nu ne asumăm răspunderea pentru eventualele greșeli de tipar. Toate imaginile sunt cu titlu de prezentare.,11.338569999999999,343.2190699999999,11.33849,18.33849,14
3,,501.32492480618777,540.373442,251.60630099999997,285.0126801789638,15
3,S3-RO-KW43-KDZ-PR_R-1000-07,450.94964000000004,541.66364,12.53856,18.53856,16
3,3,535.86755,541.8075500000001,22.78715,32.78715,17
4,Articolele se găsesc în limita stocului disponibil. Vindem în cantități destinate exclusiv consumului personal.,212.28116,541.4176599999997,11.33849,18.33849,0
4,LUNI&MARȚI. LUNI&MARȚI,295.706179,535.5179139971225,62.336988,97.7920299938972,1
4,LUNI&MARȚI . LUNI&MARȚI . LUNI&MARȚI. LUNI&MARȚI,13.430270000000002,539.131167264832,786.46502,810.36189,2
4,,11.693769999999999,50.742287193812196,251.32278,284.72915917896387,3
4,Ofertele din paginile 4-5 sunt valabile      ,250.491579,540.8237812400001,29.676987000000004,66.01792396000002,4
4,  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020,24.09447,529.2648800000002,761.27093,775.27093,5
4,LUNI&  MARȚI,185.48836,268.524542989968,358.98773,402.17428,6
4,LUNI&  MARȚI,139.78703000000002,222.823212989968,600.28595,643.47247,7
4,LUNI&  MARȚI,456.85846,539.894642989968,412.98303,456.16958,8
4,LUNI&  MARȚI,456.85846,539.894642989968,190.46344,233.65,9
4, -28%,474.55865,520.36865,168.20308,186.20308,10
4,"4,99",477.60345,534.87045,115.60808,142.60808,11
4,"6,99",460.03457000000003,492.51457,145.22699,161.22699,12
4, -20%,474.53488,520.39888,389.13299,407.13299,13
4,"7,99",478.00015,534.88915,336.7558,363.7558,14
4,"9,99",460.05346,492.53346,366.37469,382.37469,15
4, -27%,159.03506000000002,204.21506000000002,575.0864799999999,593.0864799999999,16
4,"2,39",163.09366,219.03766000000002,522.7858200000001,549.7858200000001,17
4,"3,29",144.20238,176.45838,552.40454,568.40454,18
4, -28%,204.33507,250.14507000000003,336.40857,354.40857,19
4,"3,49",208.40488,264.69988,284.31487999999996,311.31487999999996,20
4,"4,89",189.86456,222.24856,313.93377000000004,329.93377000000004,21
4,Mere Granny ,93.54326999999999,157.28327,309.20309,319.20309,22
4,Smith,93.54326999999999,121.47327,297.20309,307.20309,23
4,calitatea I kg,93.54326999999999,130.85527,277.71957000000003,295.31958,24
4,Carne tocată,351.49606,413.49606,352.51648,362.51648,25
4,din pulpă de porc 10% grăsime 500 g,351.49606,415.49526000000003,323.15301,350.63299,26
4,Castraveţi  cornichon,59.74807,111.66807,540.41638,562.41638,27
4,calitatea I kg,59.74807,97.06007,520.9329799999999,538.53302,28
4,Hamburger de porc,344.12597,436.57497,116.64168000000001,126.64168000000001,29
4,400 g,344.12597,365.71797000000004,107.04168999999999,115.04168999999999,30
4,S4-RO-KW43-KDZ-REDLM_L-1000-07,10.99659,114.42459,12.53856,18.53856,31
4,4,10.968589999999999,17.098589999999998,22.67715,32.67715,32
5,Nu ne asumăm răspunderea pentru eventualele greșeli de tipar. Toate imaginile sunt cu titlu de prezentare.,11.338569999999999,343.2190699999999,11.33849,18.33849,0
5,LUNI&MARȚI  LUNI&MARȚI  LUNI&MARȚI LUNI&MARȚI,14.227269,537.3474723683776,80.891187,136.15711644610678,1
5,.,140.48106800000002,143.47140449648202,95.901691,113.88408800989842,2
5,.,276.300881,279.29121749648203,105.39919500000002,123.38159200989841,3
5,.,407.30476400000003,410.295100496482,114.55979099999999,132.54218800989838,4
5,LUNI&MARȚI  LUNI&MARȚI  LUNI&MARȚI LUNI&MARȚI LUNI&MARȚI LUNI&MARȚI LUNI&MARȚI .,13.71367,539.4146833,786.46502,810.36189,5
5,.,140.70698000000002,144.94445,792.63189,810.36189,6
5,..,408.18216,412.41963,792.63189,810.36189,7
5, în zilele de 19 și 20 octombrie.,20.946369000000004,230.13112912160003,52.278046,82.94463928639999,8
5,  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020,24.09447,529.2648800000002,761.27093,775.27093,9
5,LUNI&  MARȚI,455.68605999999994,538.722242989968,540.9771099999999,584.1636900000001,10
5,LUNI&  MARȚI,95.78997,178.826152989968,632.12005,675.3066299999999,11
5,LUNI&  MARȚI,276.38595,359.422132989968,217.39255,260.57910000000004,12
5,LUNI&  MARȚI,459.33325,542.369432989968,234.40042999999997,277.58699,13
5,LUNI&  MARȚI,96.49857,179.53475298996796,208.88862,252.07518,14
5, -66%,113.40087,159.62487,608.61731,626.61731,15
5, -15%,477.51404,520.6600400000002,210.13508,228.13508,16
5,"2,19",120.66237,173.90636999999995,556.4409099999999,583.4409099999999,17
5,"5,59",481.19336,536.51636,157.67789,184.67789,18
5,"6,45",98.99996999999999,131.22397,586.05963,602.05963,19
5,"6,59",461.64987,493.28187,187.3008,203.3008,20
5, -30%,474.42749000000003,520.52549,518.52112,536.52112,21
5,"5,59",479.61337000000003,534.93637,465.73217999999997,492.73217999999997,22
5,"7,99",460.10077,492.22877000000005,495.3511,511.3511,23
5, -21%,295.45569,338.54769,193.54248,211.54247999999998,24
5,"2,99",297.42685,354.42385,141.16528,168.16528,25
5,"3,79",279.58816,311.42816000000005,170.78418,186.78418,26
5, -21%,114.98317,158.07517,184.7551,202.7551,27
5,"8,19",120.62607,173.95107,132.66128,159.66128,28
5,"10,39",99.11577,137.86776999999998,162.28028999999998,178.28028999999998,29
5,GRAN  BAVARESE Brânză  cu mucegai,375.56976000000003,428.86875999999995,505.48416,551.4841299999999,30
5,50% grăsime 100 g*,375.56985,423.17705,486.00079000000005,503.6008,31
5,*produs la vitrina cu servire asistată,375.56985,436.53355,472.00067,486.00067,32
5,SCANDIA  SIBIU Pate,29.24987,77.65987000000001,568.8620599999999,602.8620599999999,33
5,de porc 200 g,29.24997,56.93796999999999,549.37866,566.9787,34
5,KINDER maxi king,490.39358,536.22358,294.48177999999996,316.48177999999996,35
5,3x35g,490.39367000000004,513.95367,284.88177,292.88177,36
5,REINERT Şuncă  Westfalia,34.01567,79.67567000000003,136.16019,170.16019,37
5,100 g,34.01577,54.31977,126.56018999999999,134.56018999999998,38
5,ARTESANA,195.13418000000001,250.36417999999998,177.67551,187.67551,39
5,Kefir,195.08418,218.38418,165.67551,175.67551,40
5,"din lapte de vacă 3,5% grăsime 250 ml",195.08426,258.19546,136.31208999999998,163.79208,41
5,S5-RO-KW43-KDZ-REDLM_R-1000-07,438.17565999999994,541.6636599999999,12.53856,18.53856,42
5,5,535.92749,541.81749,22.78715,32.78715,43
6,Articolele se găsesc în limita stocului disponibil. Vindem în cantități destinate exclusiv consumului personal.,212.28116,541.4176599999997,11.33849,18.33849,0
6,LUNI&MARȚI . LUNI&MARȚI . LUNI&MARȚI. LUNI&MARȚI,13.430270000000002,539.131167264832,786.46502,810.36189,1
6,LUNI&MARȚI . LUNI&MARȚI . LUNI&MARȚI. LUNI&MARȚI,15.539169,538.6592893683776,42.75459000000001,98.0205194461068,2
6,SĂPTĂMÂNA,204.28296,372.959084361856,724.04138,751.48178,3
6,CU OFERTELE DE,210.51192999999998,435.770141082684,644.38195,671.8223499999998,4
6,E MAI FRUM,194.36696,400.5129474404,685.60974,719.9102399999998,5
6,OASĂ,400.61584737044996,498.26937713676,685.60974,719.9102399999998,6
6,Ofertele din paginile 6-7 sunt valabile      ,250.491579,540.8237713441652,35.34628900000001,71.6872252680205,7
6,  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020,24.09447,529.2648700000002,761.27093,775.27093,8
6,LUNI&  MARȚI,315.84418,398.88036298996803,405.75934,448.94589,9
6,LUNI&  MARȚI,93.69700999999999,176.733192989968,388.76037,431.94692000000003,10
6,LUNI&  MARȚI,459.33325,542.369432989968,190.23113999999998,233.4177,11
6,LUNI&  MARȚI,95.91346999999999,178.949652989968,660.3059,703.4924900000001,12
6,LUNI&  MARȚI,95.63367,178.669852989968,169.61433,212.80087999999998,13
6,LUNI&  MARȚI,274.957,357.99318298996803,169.61433,212.80087999999998,14
6, -23%,113.14506999999999,158.84707,365.98388,383.98388,15
6,"21,29",103.60767,173.40267,313.38888,340.38888,16
6,"27,99",98.56687,139.67086999999998,343.00777999999997,359.00777999999997,17
6, -20%,476.43179000000003,522.29579,167.27659,185.27659,18
6,"2,29",479.89697,536.78597,114.8995,141.8995,19
6,"2,89",461.95038,493.90238,144.51838999999998,160.51838999999998,20
6, -30%,110.83227,156.93026999999995,636.3844,654.3844,21
6,"1,79",118.65297,171.30297,584.00732,611.00732,22
6,"2,59",96.46786999999999,127.92387,613.6261,629.6261,23
6, -32%,334.74505,380.44705,383.1803,401.1803,24
6,"1,45",342.19015,395.05615,331.08648,358.08648,25
6,"2,15",320.22046,349.78846,360.70538,376.70538,26
6, -28%,114.74507,160.55507,146.82259,164.82259,27
6, -20%,294.03567000000004,339.89967,146.82259,164.82259,28
6,"7,19",121.95506999999999,175.09107,94.36929,121.36928999999999,29
6,"2,85",298.21106000000003,354.39806,94.36929,121.36928999999999,30
6,"9,99",100.21307,132.69307,123.98818999999999,139.98819,31
6,"3,59",279.53067000000004,311.11467000000005,123.98818999999999,139.98819,32
6,AUTENTIC  ROM de rom,226.73376000000002,280.31377000000003,345.48657000000003,391.48657000000003,33
6,Baton cu cremă ,226.73376000000002,303.8527600000001,357.48657000000003,367.48657000000003,34
