,Char,x0,x1,width,y0,y1,height
65,",",201.34961,202.92701000000002,1.5774000000000115,47.57959,54.179590000000005,6.600000000000001
66, ,202.72901,204.44501,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
67,c,204.24701,207.50081,3.2538000000000125,47.57959,54.179590000000005,6.600000000000001
68,u,207.30281,211.13081,3.828000000000003,47.57959,54.179590000000005,6.600000000000001
69, ,210.93281,212.64881,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
70,e,212.45081,216.14021,3.6894000000000062,47.57959,54.179590000000005,6.600000000000001
71,x,215.67821,219.14981,3.471599999999995,47.57959,54.179590000000005,6.600000000000001
72,c,218.61521,221.86901,3.2538000000000125,47.57959,54.179590000000005,6.600000000000001
73,e,221.50601,225.19541,3.6894000000000062,47.57959,54.179590000000005,6.600000000000001
74,p,224.99741,228.97061,3.9731999999999914,47.57959,54.179590000000005,6.600000000000001
75,ț,228.61421,231.49181000000002,2.877600000000001,47.57959,54.179590000000005,6.600000000000001
76,i,231.29381,232.99001,1.6962000000000046,47.57959,54.179590000000005,6.600000000000001
77,a,232.79201,236.77181000000002,3.9798000000000116,47.57959,54.179590000000005,6.600000000000001
78, ,236.57381,238.28981000000002,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
79,o,238.09181,242.01881,3.9269999999999925,47.57959,54.179590000000005,6.600000000000001
80,f,241.66241,244.55321,2.890800000000013,47.57959,54.179590000000005,6.600000000000001
81,e,244.09781,247.78721000000002,3.6894000000000062,47.57959,54.179590000000005,6.600000000000001
82,r,247.58921,250.31501,2.7257999999999925,47.57959,54.179590000000005,6.600000000000001
83,t,250.11701,252.99461,2.877600000000001,47.57959,54.179590000000005,6.600000000000001
84,e,252.66395,256.35335,3.689399999999978,47.57959,54.179590000000005,6.600000000000001
85,l,256.15535,257.85815,1.7028000000000247,47.57959,54.179590000000005,6.600000000000001
86,o,257.66015,261.58715,3.927000000000021,47.57959,54.179590000000005,6.600000000000001
87,r,261.38915,264.11494999999996,2.7257999999999925,47.57959,54.179590000000005,6.600000000000001
88, ,263.91695,265.63295,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
89,i,265.43495,267.13115,1.6961999999999762,47.57959,54.179590000000005,6.600000000000001
90,n,266.93315,270.75455,3.821399999999983,47.57959,54.179590000000005,6.600000000000001
91,d,270.52355,274.52975,4.0061999999999784,47.57959,54.179590000000005,6.600000000000001
92,i,274.33175,276.02795,1.6961999999999762,47.57959,54.179590000000005,6.600000000000001
93,c,275.82995,279.08375,3.2538000000000125,47.57959,54.179590000000005,6.600000000000001
94,a,278.72075,282.70055,3.9798000000000116,47.57959,54.179590000000005,6.600000000000001
95,t,282.50255,285.38014999999996,2.8775999999999726,47.57959,54.179590000000005,6.600000000000001
96,e,285.05015000000003,288.73955,3.689399999999978,47.57959,54.179590000000005,6.600000000000001
97, ,288.54154,290.25754,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
98,p,290.05954,294.03274000000005,3.97320000000002,47.57959,54.179590000000005,6.600000000000001
99,r,293.83474,296.56054,2.7257999999999925,47.57959,54.179590000000005,6.600000000000001
100,i,296.36254,298.05874,1.6961999999999762,47.57959,54.179590000000005,6.600000000000001
101,n,297.86074,301.68214,3.821399999999983,47.57959,54.179590000000005,6.600000000000001
102, ,301.48414,303.20014000000003,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
103,„,303.00214,305.75434,2.752200000000016,47.57959,54.179590000000005,6.600000000000001
104,L,305.58405,309.37905,3.795000000000016,47.57959,54.179590000000005,6.600000000000001
105,U,308.96985,313.68885,4.718999999999994,47.57959,54.179590000000005,6.600000000000001
106,N,313.55685,318.42764999999997,4.870799999999974,47.57959,54.179590000000005,6.600000000000001
107,I,318.29565,320.31525000000005,2.0196000000000254,47.57959,54.179590000000005,6.600000000000001
108, ,320.15025,321.86625000000004,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
109,Ș,321.70125,325.62825000000004,3.927000000000021,47.57959,54.179590000000005,6.600000000000001
